"t","x","y"
0,0.0,0.0
0,0.0,0.00599987
0,0.0,0.01199974
0,0.0,0.01799961
0,0.0,0.02399948
0,0.0,0.02999935
0,0.0,0.03599922
0,0.0,0.04199909
0,0.0,0.04799896
0,0.0,0.06076089
0,0.0,0.07352282
0,0.0,0.08628475
0,0.0,0.09904668
0,0.0,0.111808605
0,0.0,0.12457053
0,0.0,0.13733247
0,0.0,0.15009439
0,0.0,0.16285633
0,0.0,0.17561826
0,0.0,0.18838018
0,0.0,0.20114212
0,0.0,0.21390404
0,0.0,0.22666597
0,0.0,0.23942791
0,0.0,0.25218984
0,0.0,0.26495177
0,0.0,0.2777137
0,0.0,0.2904756
0,0.0,0.30323756
0,0.0,0.31599948
0,0.0,0.3287614
0,0.0,0.34152335
0,0.0,0.35428527
0,0.0,0.3670472
0,0.0,0.37980914
0,0.0,0.39257106
0,0.0,0.40533298
0,0.0,0.4180949
0,0.0,0.43085685
0,0.0,0.44361877
0,0.0,0.4563807
0,0.0,0.46914265
0,0.0,0.48190457
0,0.0,0.4946665
0,0.0,0.5074284
0,0.0,0.52019036
0,0.0,0.5329523
0,0.0,0.5457142
0,0.0,0.55847615
0,0.0,0.57123804
0,0.0,0.584
0.1008,0.0,0.0
0.1008,0.0,0.00599987
0.1008,0.0,0.01199974
0.1008,0.0,0.01799961
0.1008,0.0,0.02399948
0.1008,0.0,0.02999935
0.1008,0.0,0.03599922
0.1008,0.0,0.04199909
0.1008,0.0,0.04799896
0.1008,0.0,0.06076089
0.1008,0.0,0.07352282
0.1008,0.0,0.08628475
0.1008,0.0,0.09904668
0.1008,0.0,0.111808605
0.1008,0.0,0.12457053
0.1008,0.0,0.13733247
0.1008,0.0,0.15009439
0.1008,0.0,0.16285633
0.1008,0.0,0.17561826
0.1008,0.0,0.18838018
0.1008,0.0,0.20114212
0.1008,0.0,0.21390404
0.1008,0.0,0.22666597
0.1008,0.0,0.23942791
0.1008,0.0,0.25218984
0.1008,0.0,0.26495177
0.1008,0.0,0.2777137
0.1008,0.0,0.2904756
0.1008,0.0,0.30323756
0.1008,0.0,0.31599948
0.1008,0.0,0.3287614
0.1008,0.0,0.34152335
0.1008,0.0,0.35428527
0.1008,0.0,0.3670472
0.1008,0.0,0.37980914
0.1008,0.0,0.39257106
0.1008,0.0,0.40533298
0.1008,0.0,0.4180949
0.1008,0.0,0.43085685
0.1008,0.0,0.44361877
0.1008,0.0,0.4563807
0.1008,0.0,0.46914265
0.1008,0.0,0.48190457
0.1008,0.0,0.4946665
0.1008,0.0,0.5074284
0.1008,0.0,0.52019036
0.1008,0.0,0.5329523
0.1008,0.0,0.5457142
0.1008,0.0,0.55847615
0.1008,0.0,0.57123804
0.1008,0.0,0.584
0.20068,0.0,0.0
0.20068,0.0,0.00599987
0.20068,0.0,0.01199974
0.20068,0.0,0.01799961
0.20068,0.0,0.02399948
0.20068,0.0,0.02999935
0.20068,0.0,0.03599922
0.20068,0.0,0.04199909
0.20068,0.0,0.04799896
0.20068,0.0,0.06076089
0.20068,0.0,0.07352282
0.20068,0.0,0.08628475
0.20068,0.0,0.09904668
0.20068,0.0,0.111808605
0.20068,0.0,0.12457053
0.20068,0.0,0.13733247
0.20068,0.0,0.15009439
0.20068,0.0,0.16285633
0.20068,0.0,0.17561826
0.20068,0.0,0.18838018
0.20068,0.0,0.20114212
0.20068,0.0,0.21390404
0.20068,0.0,0.22666597
0.20068,0.0,0.23942791
0.20068,0.0,0.25218984
0.20068,0.0,0.26495177
0.20068,0.0,0.2777137
0.20068,0.0,0.2904756
0.20068,0.0,0.30323756
0.20068,0.0,0.31599948
0.20068,0.0,0.3287614
0.20068,0.0,0.34152335
0.20068,0.0,0.35428527
0.20068,0.0,0.3670472
0.20068,0.0,0.37980914
0.20068,0.0,0.39257106
0.20068,0.0,0.40533298
0.20068,0.0,0.4180949
0.20068,0.0,0.43085685
0.20068,0.0,0.44361877
0.20068,0.0,0.4563807
0.20068,0.0,0.46914265
0.20068,0.0,0.48190457
0.20068,0.0,0.4946665
0.20068,0.0,0.5074284
0.20068,0.0,0.52019036
0.20068,0.0,0.5329523
0.20068,0.0,0.5457142
0.20068,0.0,0.55847615
0.20068,0.0,0.57123804
0.20068,0.0,0.584
0.29887,0.0,0.0
0.29887,0.0,0.00599987
0.29887,0.0,0.01199974
0.29887,0.0,0.01799961
0.29887,0.0,0.02399948
0.29887,0.0,0.02999935
0.29887,0.0,0.03599922
0.29887,0.0,0.04199909
0.29887,0.0,0.04799896
0.29887,0.0,0.06076089
0.29887,0.0,0.07352282
0.29887,0.0,0.08628475
0.29887,0.0,0.09904668
0.29887,0.0,0.111808605
0.29887,0.0,0.12457053
0.29887,0.0,0.13733247
0.29887,0.0,0.15009439
0.29887,0.0,0.16285633
0.29887,0.0,0.17561826
0.29887,0.0,0.18838018
0.29887,0.0,0.20114212
0.29887,0.0,0.21390404
0.29887,0.0,0.22666597
