Time,x,y,z,Ux,Uy,h
1,0,0,0,0.099997,0,0.01
1,0,0.05,0,0.099997,0,0.01
1,0,0.1,0,0.099998,0,0.01
1,0,0.15,0,0.099999,0,0.01
1,0,0.2,0,0.099999,0,0.01
1,0,0.25,0,0.1,0,0.01
1,0,0.3,0,0.1,0,0.01
1,0,0.35,0,0.099999,0,0.01
1,0,0.4,0,0.099999,0,0.01
1,0,0.45,0,0.099998,0,0.01
1,0,0.5,0,0.099997,0,0.01
1,0,0.55,0,0.099998,0,0.01
1,0,0.6,0,0.099999,0,0.01
1,0,0.65,0,0.1,0,0.01
1,0,0.7,0,0.1,0,0.01
1,0,0.75,0,0.1,0,0.01
1,0,0.8,0,0.1,0,0.0099999
1,0,0.85,0,0.1,0,0.0099999
1,0,0.9,0,0.1,0,0.0099998
1,0,0.95,0,0.1,0,0.0099997
1,0,1,0,0.1,0,0.0099997
2,0,0,0,0.099986,0,0.010001
2,0,0.05,0,0.099989,0,0.010001
2,0,0.1,0,0.1,0,0.01
2,0,0.15,0,0.10003,0,0.0099969
2,0,0.2,0,0.1001,0,0.00999
2,0,0.25,0,0.10021,0,0.0099789
2,0,0.3,0,0.10035,0,0.0099648
2,0,0.35,0,0.10049,0,0.0099513
2,0,0.4,0,0.10059,0,0.0099416
2,0,0.45,0,0.10064,0,0.0099367
2,0,0.5,0,0.10065,0,0.0099355
2,0,0.55,0,0.10064,0,0.0099367
2,0,0.6,0,0.10059,0,0.0099414
2,0,0.65,0,0.10049,0,0.0099508
2,0,0.7,0,0.10036,0,0.0099642
2,0,0.75,0,0.10022,0,0.0099782
2,0,0.8,0,0.10011,0,0.0099893
2,0,0.85,0,0.10004,0,0.009996
2,0,0.9,0,0.10001,0,0.0099991
2,0,0.95,0,0.1,0,0.01
2,0,1,0,0.099998,0,0.01
3,0,0,0,0.1009,0,0.0099106
3,0,0.05,0,0.10077,0,0.0099239
3,0,0.1,0,0.10045,0,0.0099557
3,0,0.15,0,0.10011,0,0.0099892
3,0,0.2,0,0.099891,0,0.010011
3,0,0.25,0,0.099819,0,0.010018
3,0,0.3,0,0.099848,0,0.010015
3,0,0.35,0,0.099907,0,0.010009
3,0,0.4,0,0.09994,0,0.010006
3,0,0.45,0,0.099936,0,0.010006
3,0,0.5,0,0.099927,0,0.010007
3,0,0.55,0,0.099937,0,0.010006
3,0,0.6,0,0.099944,0,0.010006
3,0,0.65,0,0.099913,0,0.010009
3,0,0.7,0,0.099857,0,0.010014
3,0,0.75,0,0.099831,0,0.010017
3,0,0.8,0,0.099903,0,0.01001
3,0,0.85,0,0.10012,0,0.0099879
3,0,0.9,0,0.10046,0,0.0099542
3,0,0.95,0,0.10079,0,0.0099221
3,0,1,0,0.10092,0,0.0099086
4,0,0,0,0.099795,0,0.010021
4,0,0.05,0,0.099773,0,0.010023
4,0,0.1,0,0.099731,0,0.010027
4,0,0.15,0,0.099724,0,0.010028
4,0,0.2,0,0.099792,0,0.010021
4,0,0.25,0,0.099932,0,0.010007
4,0,0.3,0,0.1001,0,0.00999
4,0,0.35,0,0.10023,0,0.0099771
4,0,0.4,0,0.10029,0,0.0099711
4,0,0.45,0,0.1003,0,0.0099702
4,0,0.5,0,0.10029,0,0.0099706
4,0,0.55,0,0.1003,0,0.00997
4,0,0.6,0,0.10029,0,0.0099707
4,0,0.65,0,0.10024,0,0.0099765
4,0,0.7,0,0.10011,0,0.0099893
4,0,0.75,0,0.099942,0,0.010006
4,0,0.8,0,0.099804,0,0.01002
4,0,0.85,0,0.09974,0,0.010026
4,0,0.9,0,0.09975,0,0.010025
4,0,0.95,0,0.099796,0,0.010021
4,0,1,0,0.09982,0,0.010018
5,0,0,0,0.099985,0,0.010002
5,0,0.05,0,0.099995,0,0.01
5,0,0.1,0,0.10002,0,0.0099976
5,0,0.15,0,0.10007,0,0.009993
5,0,0.2,0,0.10012,0,0.0099885
5,0,0.25,0,0.10013,0,0.0099865
5,0,0.3,0,0.10011,0,0.0099894
5,0,0.35,0,0.10001,0,0.0099986
5,0,0.4,0,0.099885,0,0.010011
5,0,0.45,0,0.099775,0,0.010023
5,0,0.5,0,0.099731,0,0.010027
5,0,0.55,0,0.099775,0,0.010023
5,0,0.6,0,0.099887,0,0.010011
5,0,0.65,0,0.10002,0,0.0099982
5,0,0.7,0,0.10011,0,0.0099886
5,0,0.75,0,0.10015,0,0.0099855
5,0,0.8,0,0.10013,0,0.0099873
5,0,0.85,0,0.10008,0,0.0099916
5,0,0.9,0,0.10004,0,0.0099962
5,0,0.95,0,0.10001,0,0.0099989
5,0,1,0,0.1,0,0.0099997
6,0,0,0,0.099947,0,0.010005
6,0,0.05,0,0.09992,0,0.010008
6,0,0.1,0,0.099849,0,0.010015
6,0,0.15,0,0.099768,0,0.010023
6,0,0.2,0,0.099711,0,0.010029
6,0,0.25,0,0.099695,0,0.010031
6,0,0.3,0,0.099718,0,0.010028
6,0,0.35,0,0.099773,0,0.010023
6,0,0.4,0,0.09984,0,0.010016
6,0,0.45,0,0.099893,0,0.010011
6,0,0.5,0,0.099914,0,0.010009
6,0,0.55,0,0.099893,0,0.010011
6,0,0.6,0,0.09984,0,0.010016
6,0,0.65,0,0.099774,0,0.010023
6,0,0.7,0,0.09972,0,0.010028
6,0,0.75,0,0.099698,0,0.01003
6,0,0.8,0,0.099715,0,0.010029
6,0,0.85,0,0.099773,0,0.010023
6,0,0.9,0,0.099855,0,0.010015
6,0,0.95,0,0.099926,0,0.010007
6,0,1,0,0.099953,0,0.010005
7,0,0,0,0.099833,0,0.010017
7,0,0.05,0,0.099855,0,0.010015
7,0,0.1,0,0.099909,0,0.010009
7,0,0.15,0,0.099974,0,0.010003
7,0,0.2,0,0.10003,0,0.0099968
7,0,0.25,0,0.10007,0,0.0099933
7,0,0.3,0,0.10007,0,0.0099929
7,0,0.35,0,0.10005,0,0.0099948
7,0,0.4,0,0.10002,0,0.0099977
7,0,0.45,0,0.1,0,0.0099999
7,0,0.5,0,0.099994,0,0.010001
7,0,0.55,0,0.1,0,0.0099998
7,0,0.6,0,0.10002,0,0.0099976
7,0,0.65,0,0.10005,0,0.0099947
7,0,0.7,0,0.10007,0,0.0099928
7,0,0.75,0,0.10007,0,0.0099932
7,0,0.8,0,0.10003,0,0.0099966
7,0,0.85,0,0.099977,0,0.010002
7,0,0.9,0,0.099914,0,0.010009
7,0,0.95,0,0.099861,0,0.010014
7,0,1,0,0.099841,0,0.010016
8,0,0,0,0.099843,0,0.010016
8,0,0.05,0,0.099859,0,0.010014
8,0,0.1,0,0.099903,0,0.01001
8,0,0.15,0,0.099959,0,0.010004
8,0,0.2,0,0.10001,0,0.0099991
8,0,0.25,0,0.10004,0,0.0099957
8,0,0.3,0,0.10006,0,0.009994
8,0,0.35,0,0.10007,0,0.0099934
8,0,0.4,0,0.10007,0,0.0099932
8,0,0.45,0,0.10007,0,0.0099931
8,0,0.5,0,0.10007,0,0.009993
8,0,0.55,0,0.10007,0,0.0099929
8,0,0.6,0,0.10007,0,0.0099929
8,0,0.65,0,0.10007,0,0.009993
8,0,0.7,0,0.10006,0,0.0099936
8,0,0.75,0,0.10005,0,0.0099951
8,0,0.8,0,0.10002,0,0.0099984
8,0,0.85,0,0.099967,0,0.010003
8,0,0.9,0,0.099912,0,0.010009
8,0,0.95,0,0.099869,0,0.010013
8,0,1,0,0.099853,0,0.010015
9,0,0,0,0.10009,0,0.0099907
9,0,0.05,0,0.10009,0,0.009991
9,0,0.1,0,0.10007,0,0.0099926
9,0,0.15,0,0.10004,0,0.0099959
9,0,0.2,0,0.099986,0,0.010001
9,0,0.25,0,0.099912,0,0.010009
9,0,0.3,0,0.099828,0,0.010017
9,0,0.35,0,0.099748,0,0.010025
9,0,0.4,0,0.099683,0,0.010032
9,0,0.45,0,0.099641,0,0.010036
9,0,0.5,0,0.099627,0,0.010037
9,0,0.55,0,0.099643,0,0.010036
9,0,0.6,0,0.099686,0,0.010031
9,0,0.65,0,0.099753,0,0.010025
9,0,0.7,0,0.099835,0,0.010017
9,0,0.75,0,0.099922,0,0.010008
9,0,0.8,0,0.099999,0,0.01
9,0,0.85,0,0.10006,0,0.0099943
9,0,0.9,0,0.10009,0,0.0099908
9,0,0.95,0,0.10011,0,0.0099891
9,0,1,0,0.10011,0,0.0099886
10,0,0,0,0.099808,0,0.010019
10,0,0.05,0,0.099811,0,0.010019
10,0,0.1,0,0.099819,0,0.010018
10,0,0.15,0,0.099832,0,0.010017
10,0,0.2,0,0.099856,0,0.010014
10,0,0.25,0,0.099893,0,0.010011
10,0,0.3,0,0.099942,0,0.010006
10,0,0.35,0,0.099995,0,0.010001
10,0,0.4,0,0.10004,0,0.0099957
10,0,0.45,0,0.10008,0,0.0099922
