"t","x","y"
0.69883,0.025391305,0.584
0.69883,0.03808696,0.584
0.69883,0.05078261,0.584
0.69883,0.06347826,0.584
0.69883,0.07617392,0.584
0.69883,0.088869564,0.584
0.69883,0.10156522,0.584
0.69883,0.11426087,0.584
0.69883,0.12695652,0.584
0.69883,0.13965218,0.584
0.69883,0.15234783,0.584
0.69883,0.16504347,0.584
0.69883,0.17773913,0.584
0.69883,0.19043478,0.584
0.69883,0.20313044,0.584
0.69883,0.2158261,0.584
0.69883,0.22852173,0.584
0.69883,0.24121739,0.584
0.69883,0.25391304,0.584
0.69883,0.2666087,0.584
0.69883,0.27930436,0.584
0.69883,0.292,0.584
0.69883,0.29799986,0.584
0.69883,0.30399975,0.584
0.69883,0.30999961,0.584
0.69883,0.31599948,0.584
0.69883,0.33010477,0.584
0.69883,0.34421006,0.584
0.69883,0.35831535,0.584
0.69883,0.37242064,0.584
0.69883,0.38652593,0.584
0.69883,0.40063122,0.584
0.69883,0.4147365,0.584
0.69883,0.4288418,0.584
0.69883,0.4429471,0.584
0.69883,0.45705238,0.584
0.69883,0.47115767,0.584
0.69883,0.48526296,0.584
0.69883,0.49936825,0.584
0.69883,0.5134736,0.584
0.69883,0.52757883,0.584
0.69883,0.54168415,0.584
0.69883,0.5557894,0.584
0.69883,0.56989473,0.584
0.69883,0.584,0.584
0.7992,0.0,0.584
0.7992,0.012695652,0.584
0.7992,0.025391305,0.584
0.7992,0.03808696,0.584
0.7992,0.05078261,0.584
0.7992,0.06347826,0.584
0.7992,0.07617392,0.584
0.7992,0.088869564,0.584
0.7992,0.10156522,0.584
0.7992,0.11426087,0.584
0.7992,0.12695652,0.584
0.7992,0.13965218,0.584
0.7992,0.15234783,0.584
0.7992,0.16504347,0.584
0.7992,0.17773913,0.584
0.7992,0.19043478,0.584
0.7992,0.20313044,0.584
0.7992,0.2158261,0.584
0.7992,0.22852173,0.584
0.7992,0.24121739,0.584
0.7992,0.25391304,0.584
0.7992,0.2666087,0.584
0.7992,0.27930436,0.584
0.7992,0.292,0.584
0.7992,0.29799986,0.584
0.7992,0.30399975,0.584
0.7992,0.30999961,0.584
0.7992,0.31599948,0.584
0.7992,0.33010477,0.584
0.7992,0.34421006,0.584
0.7992,0.35831535,0.584
0.7992,0.37242064,0.584
0.7992,0.38652593,0.584
0.7992,0.40063122,0.584
0.7992,0.4147365,0.584
0.7992,0.4288418,0.584
0.7992,0.4429471,0.584
0.7992,0.45705238,0.584
0.7992,0.47115767,0.584
0.7992,0.48526296,0.584
0.7992,0.49936825,0.584
0.7992,0.5134736,0.584
0.7992,0.52757883,0.584
0.7992,0.54168415,0.584
0.7992,0.5557894,0.584
0.7992,0.56989473,0.584
0.7992,0.584,0.584
0.89955,0.0,0.584
0.89955,0.012695652,0.584
0.89955,0.025391305,0.584
0.89955,0.03808696,0.584
0.89955,0.05078261,0.584
0.89955,0.06347826,0.584
0.89955,0.07617392,0.584
0.89955,0.088869564,0.584
0.89955,0.10156522,0.584
0.89955,0.11426087,0.584
0.89955,0.12695652,0.584
0.89955,0.13965218,0.584
0.89955,0.15234783,0.584
0.89955,0.16504347,0.584
0.89955,0.17773913,0.584
0.89955,0.19043478,0.584
0.89955,0.20313044,0.584
0.89955,0.2158261,0.584
0.89955,0.22852173,0.584
0.89955,0.24121739,0.584
0.89955,0.25391304,0.584
0.89955,0.2666087,0.584
0.89955,0.27930436,0.584
0.89955,0.292,0.584
0.89955,0.29799986,0.584
0.89955,0.30399975,0.584
0.89955,0.30999961,0.584
0.89955,0.31599948,0.584
0.89955,0.33010477,0.584
0.89955,0.34421006,0.584
0.89955,0.35831535,0.584
0.89955,0.37242064,0.584
0.89955,0.38652593,0.584
0.89955,0.40063122,0.584
0.89955,0.4147365,0.584
0.89955,0.4288418,0.584
0.89955,0.4429471,0.584
0.89955,0.45705238,0.584
0.89955,0.47115767,0.584
0.89955,0.48526296,0.584
0.89955,0.49936825,0.584
0.89955,0.5134736,0.584
0.89955,0.52757883,0.584
0.89955,0.54168415,0.584
0.89955,0.5557894,0.584
0.89955,0.56989473,0.584
0.89955,0.584,0.584
1.0012,0.0,0.584
1.0012,0.012695652,0.584
1.0012,0.025391305,0.584
1.0012,0.03808696,0.584
1.0012,0.05078261,0.584
1.0012,0.06347826,0.584
1.0012,0.07617392,0.584
1.0012,0.088869564,0.584
1.0012,0.10156522,0.584
1.0012,0.11426087,0.584
1.0012,0.12695652,0.584
1.0012,0.13965218,0.584
1.0012,0.15234783,0.584
1.0012,0.16504347,0.584
1.0012,0.17773913,0.584
1.0012,0.19043478,0.584
1.0012,0.20313044,0.584
1.0012,0.2158261,0.584
1.0012,0.22852173,0.584
1.0012,0.24121739,0.584
1.0012,0.25391304,0.584
1.0012,0.2666087,0.584
1.0012,0.27930436,0.584
1.0012,0.292,0.584
1.0012,0.29799986,0.584
1.0012,0.30399975,0.584
1.0012,0.30999961,0.584
1.0012,0.31599948,0.584
1.0012,0.33010477,0.584
1.0012,0.34421006,0.584
1.0012,0.35831535,0.584
1.0012,0.37242064,0.584
1.0012,0.38652593,0.584
1.0012,0.40063122,0.584
1.0012,0.4147365,0.584
1.0012,0.4288418,0.584
1.0012,0.4429471,0.584
1.0012,0.45705238,0.584
1.0012,0.47115767,0.584
1.0012,0.48526296,0.584
1.0012,0.49936825,0.584
1.0012,0.5134736,0.584
1.0012,0.52757883,0.584
1.0012,0.54168415,0.584
1.0012,0.5557894,0.584
1.0012,0.56989473,0.584
1.0012,0.584,0.584
1.1,0.0,0.584
1.1,0.012695652,0.584
1.1,0.025391305,0.584
1.1,0.03808696,0.584
1.1,0.05078261,0.584
1.1,0.06347826,0.584
1.1,0.07617392,0.584
1.1,0.088869564,0.584
1.1,0.10156522,0.584
1.1,0.11426087,0.584
1.1,0.12695652,0.584
1.1,0.13965218,0.584
1.1,0.15234783,0.584
1.1,0.16504347,0.584
1.1,0.17773913,0.584
1.1,0.19043478,0.584
1.1,0.20313044,0.584
1.1,0.2158261,0.584
1.1,0.22852173,0.584
1.1,0.24121739,0.584
1.1,0.25391304,0.584
1.1,0.2666087,0.584
1.1,0.27930436,0.584
1.1,0.292,0.584
1.1,0.29799986,0.584
1.1,0.30399975,0.584
1.1,0.30999961,0.584
1.1,0.31599948,0.584
1.1,0.33010477,0.584
1.1,0.34421006,0.584
1.1,0.35831535,0.584
1.1,0.37242064,0.584
1.1,0.38652593,0.584
1.1,0.40063122,0.584
1.1,0.4147365,0.584
1.1,0.4288418,0.584
1.1,0.4429471,0.584
1.1,0.45705238,0.584
1.1,0.47115767,0.584
1.1,0.48526296,0.584
1.1,0.49936825,0.584
1.1,0.5134736,0.584
1.1,0.52757883,0.584
1.1,0.54168415,0.584
1.1,0.5557894,0.584
1.1,0.56989473,0.584
1.1,0.584,0.584
1.2001,0.0,0.584
1.2001,0.012695652,0.584
1.2001,0.025391305,0.584
1.2001,0.03808696,0.584
1.2001,0.05078261,0.584
1.2001,0.06347826,0.584
1.2001,0.07617392,0.584
1.2001,0.088869564,0.584
1.2001,0.10156522,0.584
1.2001,0.11426087,0.584
1.2001,0.12695652,0.584
1.2001,0.13965218,0.584
1.2001,0.15234783,0.584
1.2001,0.16504347,0.584
1.2001,0.17773913,0.584
1.2001,0.19043478,0.584
1.2001,0.20313044,0.584
1.2001,0.2158261,0.584
1.2001,0.22852173,0.584
1.2001,0.24121739,0.584
1.2001,0.25391304,0.584
1.2001,0.2666087,0.584
1.2001,0.27930436,0.584
1.2001,0.292,0.584
