Time,"x","y","z","Ux","Uy","Uz","p"
1,0,0,0,0,0,0,2.5755e-08
1,0.05,0,0,0,0,0,-0.000213
1,0.1,0,0,0,0,0,-0.00053997
1,0.15,0,0,0,0,0,-0.00065074
1,0.2,0,0,0,0,0,-0.0005019
1,0.25,0,0,0,0,0,-6.6175e-05
1,0.3,0,0,0,0,0,0.00064686
1,0.35,0,0,0,0,0,0.0016096
1,0.4,0,0,0,0,0,0.0027868
1,0.45,0,0,0,0,0,0.0041365
1,0.5,0,0,0,0,0,0.0056079
1,0.55,0,0,0,0,0,0.0071392
1,0.6,0,0,0,0,0,0.0086572
1,0.65,0,0,0,0,0,0.010078
1,0.7,0,0,0,0,0,0.011314
1,0.75,0,0,0,0,0,0.012275
1,0.8,0,0,0,0,0,0.012891
1,0.85,0,0,0,0,0,0.013131
1,0.9,0,0,0,0,0,0.013033
1,0.95,0,0,0,0,0,0.01267
1,1,0,0,0,0,0,0.012431
1,0,0.05,0,0,0,0,0.00020925
1,0.05,0.05,0,-0.00053056,0.00052697,0,-6.2569e-06
1,0.1,0.05,0,-0.002068,0.0012316,0,-0.00031716
1,0.15,0.05,0,-0.004451,0.0016587,0,-0.00039407
1,0.2,0.05,0,-0.0071563,0.0017996,0,-0.00022782
1,0.25,0.05,0,-0.0098752,0.0017432,0,0.00020029
1,0.3,0.05,0,-0.012392,0.0015627,0,0.00088514
1,0.35,0.05,0,-0.01456,0.0013019,0,0.0018047
1,0.4,0.05,0,-0.016275,0.00098192,0,0.0029281
1,0.45,0.05,0,-0.017457,0.00061254,0,0.0042166
1,0.5,0.05,0,-0.018041,0.00020006,0,0.0056219
1,0.55,0.05,0,-0.017973,-0.00024704,0,0.0070848
1,0.6,0.05,0,-0.017216,-0.00071397,0,0.0085351
1,0.65,0.05,0,-0.015764,-0.001176,0,0.009893
1,0.7,0.05,0,-0.013656,-0.0015941,0,0.011074
1,0.75,0.05,0,-0.010998,-0.0019103,0,0.011998
1,0.8,0.05,0,-0.007991,-0.002045,0,0.012599
1,0.85,0.05,0,-0.004942,-0.0019026,0,0.012854
1,0.9,0.05,0,-0.0022617,-0.0013995,0,0.012789
1,0.95,0.05,0,-0.00055934,-0.00058692,0,0.012444
1,1,0.05,0,0,0,0,0.012203
1,0,0.1,0,0,0,0,0.0005418
1,0.05,0.1,0,-0.0012879,0.0020741,0,0.00029438
1,0.1,0.1,0,-0.0040992,0.0039566,0,-3.3774e-05
1,0.15,0.1,0,-0.0081668,0.0050492,0,-7.934e-05
1,0.2,0.1,0,-0.012679,0.0053976,0,0.00010436
1,0.25,0.1,0,-0.017166,0.0052064,0,0.00051889
1,0.3,0.1,0,-0.021301,0.0046547,0,0.0011636
1,0.35,0.1,0,-0.024848,0.0038589,0,0.0020236
1,0.4,0.1,0,-0.027638,0.002883,0,0.0030746
1,0.45,0.1,0,-0.029542,0.0017621,0,0.0042833
1,0.5,0.1,0,-0.030457,0.00052117,0,0.0056056
1,0.55,0.1,0,-0.030301,-0.00080927,0,0.006986
1,0.6,0.1,0,-0.029026,-0.0021828,0,0.0083581
1,0.65,0.1,0,-0.026627,-0.0035263,0,0.0096462
1,0.7,0.1,0,-0.023173,-0.0047295,0,0.01077
1,0.75,0.1,0,-0.018837,-0.0056337,0,0.011656
1,0.8,0.1,0,-0.013929,-0.006031,0,0.012244
1,0.85,0.1,0,-0.0089094,-0.0056862,0,0.012513
1,0.9,0.1,0,-0.0043994,-0.0044079,0,0.012475
1,0.95,0.1,0,-0.0013392,-0.0022532,0,0.012106
1,1,0.1,0,0,0,0,0.01183
1,0,0.15,0,0,0,0,0.00067526
1,0.05,0.15,0,-0.0018763,0.0046121,0,0.00036332
1,0.1,0.15,0,-0.0056714,0.0081297,0,-4.4105e-05
1,0.15,0.15,0,-0.010998,0.010081,0,-0.00010646
1,0.2,0.15,0,-0.016808,0.010661,0,7.1984e-05
1,0.25,0.15,0,-0.022531,0.010237,0,0.00047712
1,0.3,0.15,0,-0.027776,0.0091263,0,0.0011072
1,0.35,0.15,0,-0.032263,0.0075418,0,0.0019497
1,0.4,0.15,0,-0.035786,0.0056072,0,0.002984
1,0.45,0.15,0,-0.038189,0.0033938,0,0.0041806
1,0.5,0.15,0,-0.039347,0.00095537,0,0.0054984
1,0.55,0.15,0,-0.039158,-0.0016467,0,0.0068841
1,0.6,0.15,0,-0.037559,-0.0043216,0,0.0082711
1,0.65,0.15,0,-0.03454,-0.0069297,0,0.0095821
1,0.7,0.15,0,-0.030179,-0.0092618,0,0.010734
1,0.75,0.15,0,-0.024677,-0.011023,0,0.011644
1,0.8,0.15,0,-0.018409,-0.01183,0,0.012249
1,0.85,0.15,0,-0.011937,-0.011262,0,0.01252
1,0.9,0.15,0,-0.0060345,-0.0089727,0,0.012455
